Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
78,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಸರ್ಕರದ ವಿವಿಧ ಇಲಾಖೆಗಳಲ್ಲಿ ಮಂಜೂರಾದ ಹುದ್ದೆಗಳು ,Sanctioned posts in different departments of the government,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
79,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಕೆಎಟಿ ವರ್ಗಾವಣೆಯಲ್ಲಿ ಬಾಕಿ ಇರುವ ಪ್ರಕರಣಗಳು ,Pending cases in KAT transfer,ಬಸವರಾಜ ಎಸ್. ಬೊಮ್ಮಾಯಿ,Basavaraja S. Bommy
80,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ರಾಜ್ಯದಲ್ಲಿ ಖಾಲಿ ಇರುವ ವಿವಿಧ ಹುದ್ದೆಗಳು,Various vacancies in the state,ಶವಲಿಂಗೇಗೌಡ ಕೆ ಎಂ ,Shawalange Gowda KM
81,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ,Staff and administrative reform,ಮುಖ್ಯಮಂತ್ರಿಗಳ ಪರಿಹಾರ ನಿಧಿ ,Chief Minister's Relief Fund,"ಪ್ರಭು ಬಿ, ಚೌಹಾಣ್","Prabhu B, Chauhan"
82,03/02/2015,ಸಿಬ್ಬಂದಿ ಮತ್ತು ಆಡಳಿತ ಸುಧಾರಣೆ ,Staff and administrative reform,ಬ್ಯಾಕ್ಲಾಗ್ ಹುದ್ದೆಗಳ ನೇಮಕಾತಿ,Recruitment of backlog posts,ಪಿಳ್ಳ ಮುನಿಶಾಮಪ್ಪ,Pillai Munisamappa
83,03/02/2015,ಆರ್ಥಿಕ ,Finance,ಹೊಸ ಜಿಲ್ಲೆ ಅಭಿವೃದ್ಧಿಗೆ ಹಮ್ಮಿಕೊಂಡಿರುವ ಯೋಜನೆಗಳು,Plans for development of new district,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ ಡಾ,Malarreddy AB Dr.
84,03/02/2015,ಆರ್ಥಿಕ ,Finance,ಮುಖ್ಯಮಂತ್ರಿಗಳ ಪರಿಹಾರ ನಿಧಿ ,Chief Minister's Relief Fund,ಕೃಷ್ಣಾರೆಡ್ಡಿ ಎಂ ,Krishnaredhend M.
85,03/02/2015,ಆರ್ಥಿಕ ,Finance,ಸರ್ಕಾರಿ ವೆಚ್ಚ,Government cost,ರಾಜೀವ್ ಪಿ,Rajiv P.
86,03/02/2015,ಆರ್ಥಿಕ ,Finance,೨೦೧೪-೧೫ನೇ ಸಾಲಿನ ಆಯವ್ಯಯದಲ್ಲಿ ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Grants released in the budget for the year 2014-15,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
87,03/02/2015,ಆರ್ಥಿಕ ,Finance,ಕೇಂದ್ರ ಸರ್ಕಾರದಿದಂದ ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Grants released from the Central Government,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
88,03/02/2015,ಆರ್ಥಿಕ ,Finance,ವಾಣಿಜ್ಯ ಅಬಕಾರಿ ಹಾಗು ಮುದ್ರಾಂಕದಿಂದ ಆದಾಯದ ಗುರಿ ,The revenue target from commercial excise and prints,ಬಸವರಾಜ ಎಸ್. ಬೊಮ್ಮಾಯಿ,Basavaraja S. Bommy
89,03/02/2015,ಆರ್ಥಿಕ ,Finance,ಯೋಜನೆಗಳಿಗೆ ಅನುಷ್ಠಾನಕ್ಕೆ ಬಂದಿರುವ ಅನುದಾನ,Assistance to projects implemented,ನಾರಾಯಣ ಗೌಡ,Narayana Gowda
90,03/02/2015,ಆರ್ಥಿಕ ,Finance,ಯೋಜನೆಗಳಿಗೆ ಬಿಡುಗಡೆಗೊಂಡ ಅನುದಾನ,Grants released to the projects,ಸುರೇಶ್ ಬಾಬು ಸಿ ಬಿ ,Suresh Babu c b
91,03/02/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ರೇಷ್ಮೆ ಬೆಳೆಗಾರgರಿಗೆ ಸಂಪರ್ಕ ಕೇಂದ್ರ ನಿರ್ಮಾಣ ,Contact Center for Silk Growers,ಐಹೋಳೆ ಡಿ ಮಹಾಲಿಂಗಪ್ಪ,Ihole de Mahalingappa
92,03/02/2015,ರೇಷ್ಮೆ ,Dept of Sericulture,ರೇಷ್ಮೆ ಬೆಳೆ ಅಭಿವೃದ್ಧಿಗೆ ಹಮ್ಮಿಕೊಂಡಿರುವ ಯೋಜನೆಗಳು ,Plans for development of silk crop,ನಾರಾಯಣಸ್ವಾಮಿ ಎಸ್ ಎನ್ ,Narayanaswamy SN
93,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಕಟ್ಟಡ ನಿರ್ಮಾಣದ ಸಾಮಾಗ್ರಿ ಹಾಗೂ ದಿನ ನಿತ್ಯ ವಸ್ತುಗಳ ಸಾಗಾಣಿP ವಾಹನಗಳಿಗೆ ನಿರ್ಬಂಧ ವಿಧಿಸಿರುವುದು ,Building materials and supplies of daily commodities P vehicles are restricted,ಗೋಪಾಲಯ್ಯ. ಕೆ,Gopalaiah. K.
94,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸಂಚಾರಿ ಪೊಲೀಸ್ ಠಾಣೆ ಪ್ರಾರಂಭಿಸುವುದು ,To start a traffic police station,ಡಾ.ಕೆ.ಶ್ರೀನಿವಾಸ್ ಮೂರ್ತಿ,Dr. K. Srinivas Murthy
95,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಗೃಹ ರಕ್ಷಕ ಸಿಬ್ಬಂದಿಗಳಿಗೆ ಹೆಚ್ಚಿನ ಸೌಲಭ್ಯ ನೀಡುವುದು ,Providing more home security guards,ರಫೀಕ್ ಅಹ್ಮದ್ ಎಸ್ ಡಾ,Rafeeq Ahmed S. Dr
96,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಸಿಬ್ಬಂಧಿಗಳ ನೇಮಕ,Recruitment of police personnel,ರೇವಣ್ಣ ಹೆಚ್ ಡಿ,Revanna H.D.
97,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸಿ ಪಿ ಐ ಮತ್ತು ಪಿ ಐ ಹುದ್ದೆಗಳನ್ನು ಗೆಜೆಟೆಡ್ ಹುದ್ದೆ ಎಂದು ಘೋಷಿಸುವುದು ,Declaration of CPI and PI posts as gazetted rank,ರಾಜೀವ್ ಪಿ,Rajiv P.
98,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಅಕಮ ಗೋವು ಸಾಗಾಟಕಾರರ ವಿರುದ್ಧ ಕ್ರಮ ,Act against cow smugglers,ರವಿ ಸಿ ಟಿ ,Ravi c
99,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಗೊಂಡಾ ಕಾಯ್ದೆಯಡಿಯಲ್ಲಿ ದಾಖಲಾಗಿರಿವ ಪ್ರಕರಣಗಳು ,Cases filed under the Gonda Act,ರವಿ ಸಿ ಟಿ ,Ravi c
100,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಖಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳನ್ನು ಭರ್ತಿ ಮಾಡುವುದು ,Filling the posts of Khakhali,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ ,Ishwar Bhimanna Khandre
101,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಠಾಣೆ ಪ್ರಾರಂಭಿಸುವುದು ,Police Station Launching,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ ,Ishwar Bhimanna Khandre
102,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ರಾಜ್ಯದಲ್ಲಿ ನೆಲೆಸಿರುವ ವಲಸಿಗರು,Immigrants living in the state,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್,Jagdish Kumar R.
103,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಲೈಂಜಿಕ ದೌರ್ಜನ್ಯ ಪ್ರಕರಣಗಳು,Sexual Assault Cases,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್,Jagdish Kumar R.
104,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ನಕಲರ ಪುನರ್ಜಿವನಕ್ಕೆ ತೆಗೆದುಕೊಂಡ ಕ್ರಮ ,The action taken to copy the copy,ಜಗದೀಶ್ ಕುಮಾರ್ ಆರ್,Jagdish Kumar R.
105,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಬಯೋತ್ಪಾದನೆ ನಿಯಂತ್ರಣ ,Terrorism control,ಅರವಿಂದ ಲಿಂಬಾವಳಿ,Aravinda Limbavali
106,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ವಾಹನಗಳ ಸಂಚಾರ ದಟ್ಟಣೆ ಹೆಚ್ಚಾಗಿರುವುದು ,Vehicles traffic is high,ಅರವಿಂದ ಲಿಂಬಾವಳಿ,Aravinda Limbavali
107,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸಂಚಾರಿ ಪೊಲೀಸ್ ಠಾಣೆ ಪ್ರಾರಂಭಿಸುವುದು ,To start a traffic police station,ಮಾನಪ್ಪ ಡಿ ವಜ್ಜಲ್ ,Manappa de Vazzal
108,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ವಂಚನೆ ಪ್ರಕರಣ ಪತ್ತೆ ಹಚ್ಚುವುದು,Detecting fraud case,ಮಧು ಬಂಗಾರಪ್ಪ ಎಸ್,Madhu Bangarappa S.
109,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಕಳತನ ಪ್ರಕರಣ ತಡೆಗಟ್ಟುವುದು,Prevention of theft case,ಮಧು ಬಂಗಾರಪ್ಪ ಎಸ್,Madhu Bangarappa S.
110,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಅಗ್ನಿ ಶಾಮಕ ಠಾಣೆ ಮಂಜೂರು ಮಾಡುವುದು,Allocation of Fire Supply Station,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
111,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಹೊರ ಪೊಲೀಸ್ ಠಾಣೆಗಳನ್ನು ಮೇಲ್ದರ್ಜೆಗೇರಿಸುವುದು ,Upgrading outgoing police stations,ಮಂಜುನಾಥ್ ಗೌಡ ಕೆ.ಎಸ್,Manjunath Gowda KS
112,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,Uಣ್ಯವ್ಯಕ್ತಿಗಳಿಗೆ ನಿಯೋಜಿಸಲಾಗಿರುವ ಭದ್ರತಾ ಸಿಬ್ಬಂಧಿ,Security person assigned to U person,ಮಲ್ಲಿಕಾರ್ಜುನ ಸಿದ್ರಾಮಪ್ಪ ಖೂಬಾ,Mallikarjuna Sidramappa Khuba
113,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಟ್ರಾಫಿಕ್ ಪೊಲೀಸ್ ಠಾಣೆ ಪ್ರಾರಂಭಿಸುವುದು ,Traffic Police Station Launches,ವಸಂತಬಂಗೇರ ಕೆ,Vasant Bangera K.
114,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸರ್ಕಲ್ ಇನ್ಸ್‌ಪೆಕ್ಟರ್ ಆಫ್ ಪೊಲೀಸ್ ಕಛೇರಿ ಪ್ರಾರಂಭಿಸುವುದು  ,The Circle Inspector of Police will begin the office,ಶಿವಾನಂದ ಎಸ್ ಪಾಟೀಲ್,Sivananda S Patil
115,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಹೊಸದಾಗಿ ಪಲೀಸ್ ಠಾಣೆ ತೆರೆಯುವುದು ,Newly opened a police station,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ ಎಂ,Shivalinge Gowda KM
116,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಬಯೋತ್ಪಾದಕ ಪ್ರಕರಣಗಳು,Terrorist cases,ಬಸವರಾಜ ಎಸ್. ಬೊಮ್ಮಾಯಿ,Basavaraja S. Bommy
117,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಜನ ಜಾಗೃತಿ ಸಭೆಗಳು,People's awareness meetings,"ಪ್ರಭು ಬಿ, ಚೌಹಾಣ್","Prabhu B, Chauhan"
118,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಕರಾವಳಿ ಕಾವಲುಪಡೆಯ ಸಿಬ್ಬಂದಿಗಳ ಕೊರತೆ,Lack of coastal guard staff,ಪಮೋದ್ ಮಧ್ವರಾಜ್,Pamod Madhwaraj
119,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ವಸತಿ ಗೃಹಗಳು,Police Real Estate,ಸುರೇಶ್ ಬಾಬು ಸಿ ಬಿ ,Suresh Babu c b
120,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ನಕ್ಸಲರಿಗೆ ವಿಶೇಷ ಪ್ಯಾಕೇಜ್ ನೀಡುವುದು ,Special package for Naxals,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ,Sunil Kumar V.
121,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಕಾರ್ಕಳದಲ್ಲಿ ಎ ಎನ್ ಎಫ್ ಕಛೇರಿ ನಿರ್ಮಿಸುವುದು ,Building an ANF office in Karkala,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ,Sunil Kumar V.
122,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಪೊಲೀಸ್ ಹೊರಠಾಣೆ ಪ್ರಾರಂಭಿಸುವುದು ,Launching Police Outpost,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್ ಎನ್ ,Subburdy SN
123,03/02/2015,ಒಳಾಡಳಿತ ,Inside Administration,ಸಂಚಾರಿ ಪೊಲೀಸ್ ಠಾಣೆಯನ್ನು ಪ್ರಾರಂಭಿಸುವುದು ,Launching a traffic police station,ಬಾಲಕೃಷ್ಣ ಸಿ ಎನ್ ,Balakrishna CNN
124,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ಶೌಚಾಲಯ ವ್ಯವಸ್ಥೆ ಕಲ್ಪಿಸುವುದು ,Toilet systems,ಚೆಲುವರಾಯಸ್ವಾಮಿ ಎನ್ ,Cheluvaraswamy N.
125,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ಕೌಟುಂಬಿಕ ನ್ಯಾಯಾಲಯಗಳಲ್ಲಿ ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳ ಭರ್ತಿ,Empty vacancies in family courts,ಡಾ.ಗುರುಪಾದಪ್ಪ ನಾಗಮಾರಪಳ್ಳಿ,Dr. Gurupappa Nagamarapally
126,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ಜಿಲ್ಲಾ ನ್ಯಾಯಾಲಯದ ಕಾಮಗಾರಿ ಪ್ರಾರಂಭಿಸುವುದು,The district court will begin work,ರೇವಣ್ಣ ಹೆಚ್ ಡಿ,Revanna H.D.
127,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ಬಾಕಿ ಇರುವ ನ್ಯಾಯಾಲಯದ ವ್ಯಾಜ್ಯಗಳು,Pending court disputes,ರಾಜೀವ್ ಪಿ,Rajiv P.
128,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ಮೂಢನಂಭಕೆ ವಿರುದ್ಧ ಕಾನೂನು ರೂಪಿಸುವುದು ,Making a law against superstition,ರಾಜೀವ್ ಪಿ,Rajiv P.
129,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ಕಾನೂನು ನೆರವು ಬಗ್ಗೆ ,About Legal Assistance,ಬಣಕಾರ್ ಯು ಬಿ ,Banakar UB
130,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ಜಿಲ್ಲಾ ಅಪರ ಸರ್ಕಾರಿ ವಕೀಲರ ಹುದ್ದೆ ತುಂಬುವಲ್ಲಿ ವಿಳಂಬ ,Delay in filling up the post of District Attorney General,ಪಮೋದ್ ಮಧ್ವರಾಜ್,Pamod Madhwaraj
131,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ನಯಾಲಯದಲ್ಲಿ ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳು ,Vacancies in the premises,ರವಿ ಸಿ ಟಿ ,Ravi c
132,03/02/2015,ಕಾನೂನು ಮತ್ತು ಸಂಸದೀಯ ವ್ಯವಹಾರಗಳ ,Law and Parliamentary Affairs,ಆರಾಧನ ಸಂಸ್ಥೆಗಳಿಗೆ ಮೀಸಲಿಟ್ಟ ಹಣ ,Dedicated money for worship organizations,"ಪ್ರಭು ಬಿ, ಚೌಹಾಣ್","Prabhu B, Chauhan"
133,03/02/2015,ಕಂದಾಯ,Revenue,ಮುಜರಾಯಿ ದೇವಸ್ಥಾನಗಳಿಗೆ ಬಿಡುಗಡೆ ಮಾಡಿರುವ ಅನುದಾನ ,Release to Muzrai temples,ಡಾ. ಶಿವರಾಜ್ ಪಾಟೀಲ್ ಎಸ್ ,Dr. Shivaraj Patil S.
134,03/02/2015,ಕಂದಾಯ,Revenue,ತಿರುಪತಿ ಆಸ್ತಿ ನಿರ್ವಹಣೆ ,Tirupati Property Management,ಡಾ ಸುಧಾಕರ್ ಕೆ,Dr. Sudhakar K.
135,03/02/2015,ಕಂದಾಯ,Revenue,ಸವದತ್ತಿ ಯಲ್ಲಮ್ಮ ದೇವಸ್ಥಾನಕ್ಕೆ ಮೂಲಭೂತ ಸೌಲಭ್ಯ ಒದಗಿಸುವುದು ,Providing basic facilities to all the temple of Savadatti,ಐಹೋಳೆ ಡಿ ಮಹಾಲಿಂಗಪ್ಪ,Ihole de Mahalingappa
136,03/02/2015,ಕಂದಾಯ,Revenue,ದವಸ್ಥಾನಗಳಿಗೆ ಅನುದಾನ ನೀಡಲು ಅನುಸರಿಸಲಾಗುತ್ತಿರುವ ಮಾನದಂಡ ,The criteria being followed to grant dalits,ರೇವಣ್ಣ ಹೆಚ್ ಡಿ,Revanna H.D.
137,03/02/2015,ಕಂದಾಯ,Revenue,ಮುಜರಾಯಿ ಇಲಾಖೆಯಿಂದ ಬಿಡುಗಡೆಯಾದ ಅನುದಾನ,Release from Muzrai Department,ಉಮೇಶ್ ವಿಶ್ವನಾಥ್ ಕತ್ತಿ,Umesh Vishwanath Sword
138,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಸಾನಗಳಲ್ಲಿ ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳ ಭರ್ತಿ ,Fill out vacant posts in Devasas,ರಮೇಶ್ ಕುಮಾರ್ ಕೆ.ಆರ್,Ramesh Kumar KR
139,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಸ್ಥಾನಗಳಲ್ಲಿ ಮೂಲಭೂತ ಸೌಕರ್ಯಗಳಿಲ್ಲದಿರುವುದು ,There is no infrastructure in temples,ರವಿ ಸಿ ಟಿ ,Ravi c
140,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಸ್ಥಾಗಳ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಳು,Development works of the Devas,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ ,Ishwar Bhimanna Khandre
141,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಸ್ಥಾನಗಳ ಅಭಿವೃದ್ಧಿಗಾಗಿ ನೀಡಿರುವ ಅನುದಾನ ,Grants for the development of temples,ಮಾನಪ್ಪ ಡಿ ವಜ್ಜಲ್ ,Manappa de Vazzal
142,03/02/2015,ಕಂದಾಯ,Revenue,ಚಂದ್ರಗುತ್ತಿ Uಮದ ಶ್ರೀ ರೇಣುಕಾಂಬ ದೇವಸ್ಥಾನದಲ್ಲಿ ಮೂಲಭೂತ ಸೌಲಭ್ಯ ಕಲ್ಪಿಸುವುದು ,Chandraganga U Mada to provide basic facilities at Sri Renukamba Temple,ಮಧು ಬಂಗಾರಪ್ಪ ಎಸ್,Madhu Bangarappa S.
143,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಸ್ಥಾನದ ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಳು ,Temple Development Works,ಮಕಬುಲ್ ಎಸ್ ಬಾಗವಾನ್ ,Macabul S Bagan
144,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಸ್ಥಾನಗಳಿಗೆ ಸರ್ಕಾರದಿಂದ ಧನ ಸಹಾಯ ನೀಡುವುದು ,Providing funds to the temples by the government,ಶಿವಾನಂದ ಎಸ್ ಪಾಟೀಲ್,Sivananda S Patil
145,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಸ್ಥಾನಗಳಿಗೆ ನಿಗದಿಪಡಿಸಲಾದ ಅನುದಾನ ,Grants assigned to temples,ಶಿವಲಿಂಗೇಗೌಡ ಕೆ ಎಂ ,Shivalinge Gowda KM
146,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಸ್ಥಾನಗಳ ಜೀರ್ಣೋದ್ದಾರಕ್ಕಾಗಿ ವಿವಿಧ ಜಿಲ್ಲೆಗಳಲ್ಲಿ ಬಿಡುಗಡೆ ಮಾಡಿರುವ ಮೊತ್ತ ,Released in various districts for the dignity of temples,ಬಸವರಾಜ ಎಸ್. ಬೊಮ್ಮಾಯಿ,Basavaraja S. Bommy
147,03/02/2015,ಕಂದಾಯ,Revenue,ಅರ್ಚಕರು ಹಾಗು ಸಿಬ್ಭಂದಿಗಳಿಗೆ ಕನಿಷ್ಠ ವೇತನ/ಸಂಬಾವನೆ,Minimum wage / affiliation to priests and gentlemen,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ,Sunil Kumar V.
148,03/02/2015,ಕಂದಾಯ,Revenue,ಧಾರ್ಮಿಕ ಸಂಸ್ಥೆಗಳ ಜೀರ್ಣೋದ್ಧಾರ ,Reconstruction of religious institutions,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ,Sunil Kumar V.
149,03/02/2015,ಕಂದಾಯ,Revenue,ದೇವಾಲಯಗಳಿಗೆ ಬಿಡುಗಡೆಗೊಳಿಸಿರುವ ಅನುದಾನ ,Grants released to temples,ಸುಬ್ಬಾರೆಡ್ಡಿ ಎಸ್ ಎನ್ ,Subburdy SN
150,03/02/2015,ಕಂದಾಯ,Revenue,ಮುಜರಾಯಿ ದೇವಸ್ಥಾನಗಳ ಅಭಿವೃದ್ಧಿ ,The development of the Muzrai temples,ಬಾಲಕೃಷ್ಣ ಸಿ ಎನ್ ,Balakrishna CNN
151,03/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಟಿ ಎಸ್ ಸಿ ಕೇಂದ್ರಗಳಲ್ಲಿ ಮಂಜೂರು ಆಗಿರುವ ಹುದ್ದೆಗಳು,Allotted posts in TSC Centers,ಕೃಷ್ಣಾರೆಡ್ಡಿ ಎಂ ,Krishnaredhend M.
152,03/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ಫಲಾನುಭವಿಗಳಿಗೆ ಸಹಾಯ ಧನ ,Helping the beneficiaries,ರಾಜಣ್ಣ ಎಂ,Rajanna M.
153,03/02/2015,ತೋಟಗಾರಿಕಾ,Department of Horticulture,ರೇಷ್ಮೆ ಬೆಳೆಗಾರರು ,Silk growers,ಬಣಕಾರ್ ಯು ಬಿ ,Banakar UB
154,04/02/2015,ಪವಾಸೋದ್ಯಮ,Tourism,ಯಾತ್ರಿ ನಿವಾಸ ನಿರ್ಮಾಣ,Pilgrim resident construction,ರುದ್ರೇಶಗೌಡ ವೈ ಎನ್ ,Rudras Gowda y N.
155,04/02/2015,ಪವಾಸೋದ್ಯಮ,Tourism,ವಿಶ್ವಪರಂಪರೆಯ ಪ್ರವಾಸಿ ತಾಣಗಳು,World Heritage Tourist Destinations,ಸುನೀಲ್ ಕುಮಾರ್ ವಿ,Sunil Kumar V.
156,04/02/2015,ಪ್ರವಾಸೋದ್ಯಮ,Tourism,ಅಭಿವೃದ್ಧಿ ಕಾಮಗಾರಿಗಳು,Development works,ಶಿವಾನಂದ ಎಸ್ ಪಾಟೀಲ್,Sivananda S Patil
157,04/02/2015,ಪ್ರವಾಸೋದ್ಯಮ ,Tourism,ಪ್ರವಾಸಿ ತಾಣ ನಿರ್ಮಾಣ,Construction site,ಡಾ. ಉಮೇಶ್ ಜಿ ಜಾಧವ್ ,Dr. Umesh G Jadhav
158,04/02/2015,ಪ್ರವಾಸೋದ್ಯಮ ,Tourism,ಕಾವರಿ ಪುನಶ್ವೇತನ,Kaveri revival,ಡಾ ಸುಧಾಕರ್ ಕೆ,Dr. Sudhakar K.
159,04/02/2015,ಪ್ರವಾಸೋದ್ಯಮ ,Tourism,ಪ್ರವಾಸಿ ಕೇಂದ್ರ ಮಂಜೂರಾತಿ,Tourist Center sanctioned,ಕೋಳಿವಾಡ ಕೆ.ಬಿ.,Kolivada kb
160,04/02/2015,ಪ್ರವಾಸೋದ್ಯಮ ,Tourism,ಯಾತ್ರಿನಿವಾಸ್ ಮಂಜೂರಾತಿ,Yatrinivas sanctioned,ಕ್ಯಾತಸಂದ್ರ ಎನ್ ರಾಜಣ್ಣ,Kathasandra N Rajanna
161,04/02/2015,ಪ್ರವಾಸೋದ್ಯಮ ,Tourism,ಪ್ರವಾಸೋದಮ ರಸ್ತೆಯ ಅಭಿವೃದ್ಧಿ ,Development of Togadama road,ರೇವಣ್ಣ ಹೆಚ್ ಡಿ,Revanna H.D.
