Sl No.,Date,Ministry (Kannada),Ministry (English Translation),Subject (Kannada),Subject (English Translation),MLA name (Kannada),MLA name (English Translation)
73,13/02/2013,ಪ್ರಾಥಮಿಕ ಮತ್ತು ಪ್ರೌಢ ಶಿಕ್ಷಣ,Primary and Secondary Education,ಮಾಜಿ ಸೈನಿಕರ ಮಕ್ಕಳ ವಿದ್ಯಾರ್ಥಿ ವೇತನ,Ex-servicemen's children's scholarship,ವಸಂತ ಬಂಗೇರ,Vasanta bangera
74,13/02/2013,ಮುಜರಾಯಿ,Muzarai,ಎ ಮತ್ತು ಬಿ ದರ್ಜೆ ದೇವಾಲಯಗಳ ವಿವರ,Details of A and B Grade Temples,ವಸಂತ ಬಂಗೇರ,Vasanta bangera
75,13/02/2013,ಯೋಜನೆ ಮತ್ತು ಸಾಂಖ್ಯಿಕ,Plan and Numerical,ಹುನರ್ ಸೆ ರೋಜ್ ಗಾರ್ ತಕ್ ಯೋಜನೆ ಅನುದಾನ,Hunners Se Rozz Gar Tak Plan Grants,ವಸಂತ ಬಂಗೇರ,Vasanta bangera
76,13/02/2013,ಮಹಿಳಾ ಮತ್ತು ಮಕ್ಕಳ ಅಭಿವೃದ್ಧಿ,Women and Child Development,ಅತಿ ಕಡಿಮೆ ತೂಕವುಳ್ಳ ಮಕ್ಕಳ ವಿವರ,Children with low weight,ವಸಂತ ಬಂಗೇರ,Vasanta bangera
77,13/02/2013,ಆರೋಗ್ಯ ಮತ್ತು ಕುಟುಂಬ ಕಲ್ಯಾಣ ಇಲ್ಯಾಖೆ,Health and Family Welfare Department,ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆಗಳ ಕಟ್ಟಡಗಳ ವಿವರ,Government Hospitals Buildings,ವಸಂತ ಬಂಗೇರ,Vasanta bangera
78,07/02/2013,ವೈದ್ಯಕೀಯ,Medical,ರಾಜ್ಯದಲ್ಲಿರುವ ಸರ್ಕಾರಿ/ಖಾಸಗಿ ವೈದ್ಯಕೀಯ ಕಾಲೇಜುಗಳು,Government / private medical colleges in the state,ಮಹದೇವಪ್ಪ ಹೆಚ್.ಸಿ,Mahadevappa HC
79,07/02/2013,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,BPL ಕಾರ್ಡ್ ಹಂಚಿಕೆಯಲ್ಲಿ ಆಗಿರುವ ವ್ಯತ್ಯಾಸಗಳು,Differences in BPL card sharing,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
80,07/02/2013,ಸಾರಿಗೆ,Transport,ಬಸ್ಸು ನಿಲ್ದಾಣದ ಕಟ್ಟಡ ಶಿಥಿಲಗೊಂಡಿರುವುದು,Bus station building collapsed,ರುದ್ರೇಶಗೌಡ ವೈ.ಎನ್,Rudras Gowda Y N 
81,07/02/2013,ವಸತಿ,Housing,ಕರ್ನಾಟಕ ಗೃಹ ಮಂಡಳಿಯ ಯೋಜನೆಗಳು,Karnataka Home Board Plans,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ,Manjunath HP
82,07/02/2013,ಇಂಧನ,Fuel,ಕಲ್ಲಿದ್ದಲು ಆಮದು,Coal import,ಜಯಚಂದ್ರ ಟಿ.ಬಿ,Jayachandra TB
83,07/02/2013,ವೈದ್ಯಕೀಯ,Medical,ರಾಜೀವ್ ಗಾಂಧಿ ವೈದ್ಯಕೀಯ ವಿಭಾಗ,Rajiv Gandhi Medical Division,ರೇವಣ್ಣ ಹೆಚ್.ಡಿ,Revanna HD
84,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಹಿಂದುಳಿದ ವರ್ಗಗಳ ವಿದ್ಯರ್ಥಿ ನಿಲಯ,Backward Classes Citizenship,ಮಾನಪ್ಪ ವಜ್ಜಲ್‌,Manappa Vajjal
85,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಹಿಂದುಳಿದ ವರ್ಗಗಳ ಕಲ್ಯಾಣ ಇಲಾಖೆಯ ವಸತಿ ನಿಲಯಗಳು,Hostels of the Backward Classes Welfare Department,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
86,07/02/2013,ವಸತಿ,Housing,ಹಕ್ಕು ಪತ್ರ ವಿತರಣೆ,Issue of claim letter,ಶ್ರೀನಿವಾಸ್ .ಎಂ,Srinivas  M
87,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಹಡಪದ ಅಪ್ಪಣ್ಣ ಸಮಾಜ ೨ಎಗೆ ಸೇರುವುದು,Happappa Appanna Society Joined 2A,ಪಾಟೀಲ್ ಬಿ.ಸಿ,Patil BC
88,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಗಂಗಾ-ಕಲ್ಯಾಣ ಯೋಜನೆಯ ಕೊಳವೆ ಬಾವಿಗಳು,Ganga-welfare project tube wells,ಬಾಲಕೃಷ್ಣ ಹೆಚ್.ಸಿ,Balakrishna HC
89,07/02/2013,ಗೃಹ,Home,ಗೃಹ ರಕ್ಷಕ ಸಿಬ್ಬಂದಿಯವರ ಬೇಡಿಕೆಗಳು,Demands of Home Guard Guards,ಕುಲಕರ್ಣಿ ಶ್ರೀಕಾಂತ್ ಸುಬ್ಬಾರಾವ್,Kulkarni Srikanth Subbarao
90,07/02/2013,ಇಂಧನ,Fuel,ನಿರಂತರ ವಿದ್ಯುತ್ ಸರಬರಾಜು ಬಗ್ಗೆ,About constant power supply,ನರೇಂದ್ರ ಸ್ವಾಮಿ ಪಿ.ಎಂ,Narendra Swami PM
91,07/02/2013,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಹೊಸ ಪಡಿತರ ಚೀಟಿ,New Ration Card,ಕೃಷ್ಣಪ್ಪ ಎಂ.ಟಿ,Krishnappa MT
92,07/02/2013,ಇಂಧನ,Fuel,ವಿದ್ಯು ತ್ ಕೊರತೆ,Lack of electricity,ಸತ್ಯನಾರಾಯಣ .ಎಂ,Sathyanarayana
93,07/02/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಅಭಾವ,Power loss,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
94,07/02/2013,ಇಂಧನ,Fuel,ಸಮರ್ಪಕ ವಿದ್ಯುತ್,Adequate power,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
95,07/02/2013,ಸಾರಿಗೆ,Transport,ಕಾಮಗಾರಿಯ ವಿಳಂಬ,Work Delay,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
96,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಮೂಲಭೂತ ಸೌಕರ್ಯ,Infrastructure,ಅಪ್ಪಾಜಿ ಚನ್ನಬಸವರಾಜ್ ಶಂಕರರಾವ್ ನಾಡಗೌಡ,Appaji Chanabasavaraj Shankarrao Nadgowda
97,07/02/2013,ಇಂಧನ,Fuel,ಕೆ.ವಿ.ಉಪಕೇಂದ್ರದ ಕಾಮಗಾರಿ,Work on the KV Center,ಬಾಲಕೃಷ್ಣ ಹೆಚ್.ಸಿ,Balakrishna HC
98,07/02/2013,ವಸತಿ,Housing,ವಿವಿಧ ವಸತಿ ಯೋಜನೆಯಡಿಯಲ್ಲಿ ಮಂಜೂರಾದ ಮನೆಗಳು,Allowed houses under various housing schemes,ಬಂಡೆಪ್ಪ ಕಾಶೆಂಪೂರ್,Bandeppa kāśempūr
99,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಸಮಾಜ ಕಲ್ಯಾಣ ನಿಗಮಗಳು,Social Welfare Corporations,ಬಂಡೆಪ್ಪ ಕಾಶೆಂಪೂರ್,Bandeppa kāśempūr
100,07/02/2013,ಗೃಹ,Home,ಇಂಡಿ ಉಪ ವಿಭಾಗದಲ್ಲಿ ಹೆಚ್ಚುತ್ತಿರುವ ಕ್ರಿಮಿನಲ್ ಅಪರಾಧಗಳು,Increasing criminal offenses in india sub-division,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
101,07/02/2013,ವಸತಿ,Housing,ಬಸವ ಆಶ್ರಯ ಮನೆ ಮಂಜೂರಾತಿ,Basava Refugee House sanctioned,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
102,07/02/2013,ವೈದ್ಯಕೀಯ ಶಿಕ್ಷಣ,Medical education,ಬೌರಿಂಗ್ ಮತ್ತು ಲೇಡಿ ಕರ್ಜನ್ ಆಸ್ಪತ್ರೆಯಲ್ಲಿ ಔಷಧಿ ಮತ್ತು Disposablesಖರೀದಿ,Buying Medicine and Disposables at Bouring and Lady Curzon Hospital,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
103,07/02/2013,ಗ್ರಾಮೀಣ ಮತ್ತು ಪಂಚಾಯತ್ ರಾಜ್,Rural and Panchayat Raj,RGGVY ಯೋಜನೆಯ ದುರುಪಯೋಗ,Misuse of RGGVY Scheme,ಬಗಲಿ ಸಾರ್ವಭೌಮ ಸಾತಗಾಡ,Bagali sārvabhauma sātagāḍa
104,07/02/2013,ಗೃಹ,Home,ಅಪ್ರಪ್ತ ಹೆಣ್ಣು ಮಕ್ಕಳ ಮೇಲೆ ನಡೆದ ಅತ್ಯಚಾರ ಹಾಗೂ ಕೊಲೆಗಳು,The rape and murder of infant girls,ಮಹದೇವಪ್ಪ ಹೆಚ್.ಸಿ,Mahadevappa HC
105,07/02/2013,ಸಾರಿಗೆ,Transport,ಬೆಂಗಳೂರಿನಿಂದ ಕೊಲ್ಲೂರಿಗೆ ಹಗಲು ವೇಳೆ ಸುಸರ್ಜಿತ ಬಸ್ಸುಗಳು,Busy buses are available from Bangalore to Kollur by day,ಮಹದೇವಪ್ಪ ಹೆಚ್.ಸಿ,Mahadevappa HC
106,07/02/2013,ಆಡಳಿತ,Administration,ಬೆಂಗಳೂರು ನಗರದ ಬೀದಿ ದೀಪಗಳು,Street lights in Bangalore city,ಮಹದೇವಪ್ಪ ಹೆಚ್.ಸಿ,Mahadevappa HC
107,07/02/2013,ಇಂಧನ,Fuel,ರಾಜ್ಯದಲ್ಲಿ ಮೂರು ವರ್ಷಗಳಿಂದ ಉತ್ಪಾದಿಸಿರುವ ವಿದ್ಯುತ್ ಪ್ರಮಾಣ,Electricity generated for three years in the state,ಮಹದೇವಪ್ಪ ಹೆಚ್.ಸಿ,Mahadevappa HC
108,07/02/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಸ್ಥಾವರ ಸ್ಥಾಪನೆ,Establishment of power plant,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ,Malarreddy AB
109,07/02/2013,ಇಂಧನ,Fuel,ಟ್ರಾನ್ಸ್ ಫಾರ್ಮರ್ ಕೊರತೆ,Transmitter deficiency,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ,Malarreddy AB
110,07/02/2013,ಗೃಹ,Home,ಯಾದಗಿರಿಯಲ್ಲಿ ಸಂಚಾರಿ ಪೊಲ್ಲೀಸ್ ಠಾಣೆ,Traffic Pollyes station in Yadgir,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ,Malarreddy AB
111,07/02/2013,ವಸತಿ,Housing,ವಸತಿ ಸಮಸ್ಯೆ,Real Estate Problem,ಮಾಲಕರೆಡ್ಡಿ ಎ.ಬಿ,Malarreddy AB
112,07/02/2013,ವೈದ್ಯಕೀಯ ಶಿಕ್ಷಣ,Medical education,ಬೀದರ್ ಸರ್ಕಾರಿ ವೈದ್ಯಕೀಯ ಕಾಲೇಜಿನ ಸಿಬ್ಬಂದಿ ನೇಮಕಾತಿಯಲ್ಲಿ ಆಗಿರುವ ಅಕ್ರಮ,Bidar Government Medical College staff illegally employed,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
113,07/02/2013,ಸಾರಿಗೆ,Transport,ಬಸ್ ಅಪಘಾತದಿಂದ ಮೃತರಾದ ಕುಟುಂಬಕ್ಕೆ ಪರಿಹಾರ,Relief for the deceased family of a bus accident,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
114,07/02/2013,ವಸತಿ,Housing,ಬಸವ ವಸತಿ ಯೋಜನೆಯಲ್ಲಿ ಆಗಿರುವ ಅವ್ಯವಹಾರ,Dispute in the Basava Housing Scheme,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
115,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಮಂಜೂರಾದ ಮೊರಾರ್ಜಿ ದೇಸಾಯಿ ವಸತಿ ಶಾಲೆ ಗಳು,Morarji Desai Residential Schools sanctioned,ಈಶ್ವರ್ ಭೀಮಣ್ಣ ಖಂಡ್ರೆ,Ishwar Bhimanna Khandre
116,07/02/2013,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಪಡಿತರ ವಿತರಣೆ,Ration distribution,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
117,07/02/2013,ಗೃಹ,Home,ಬೆಂಗಳೂರು ಮಹಾನಗರ ವ್ಯಾಪ್ಪಿಯಲ್ಲಿ ಅಪರಾಧ ಪ್ರಕರಣಗಳು,Crime cases in Bangalore Metropolitan Wapi,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
118,07/02/2013,ಗೃಹ,Home,ಮಾದಕ ದ್ರವ್ಯ ಮಾರಾಟ,Drug sales,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
119,07/02/2013,ಗೃಹ,Home,ಮಹಿಳೆಯರ ಸುಭದ್ರತೆ,Women's Stability,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
120,07/02/2013,ಇಂಧನ,Fuel,ವಿದ್ಯುತ್ ಸರಬರಾಜು,Power supply,"ಹ್ಯಾರಿಸ್ ಎನ್ ,ಎ",Harris N A
121,07/02/2013,ಇಂಧನ,Fuel,ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲೆಗೆ ಸಮರ್ಪಕ ವಿದ್ಯುತ್ ಸೌಲಭ್ಯ,Correct power facility for Dakshina Kannada district,ಖಾದರ್ ಯು.ಟಿ,Khader UT
122,07/02/2013,ವೈದ್ಯಕೀಯ ಶಿಕ್ಷಣ,Medical education,ದಕ್ಷಿಣ ಕನ್ನಡ ಜಿಲ್ಲೆಗೆ ಗ್ರಾಮೀಣ ಪ್ರದೇಶದಲ್ಲಿ ವೈದ್ಯರ ಕೊರತೆ,Dakshina Kannada district lacks doctors in rural areas,ಖಾದರ್ ಯು.ಟಿ,Khader UT
123,07/02/2013,ವಸತಿ,Housing,ನಿವೇಶನ/ವಸತಿ ಸೌಕರ್ಯ,Site / Accommodation,ಖಾದರ್ ಯು.ಟಿ,Khader UT
124,07/02/2013,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಧಾನ್ಯಗಳನ್ನು ಪಡಿತರ ಚೀಟಿ ಮೂಲಕ ವಿತರಣೆ,Distribution of grains through ration cards,ಖಾದರ್ ಯು.ಟಿ,Khader UT
125,07/02/2013,ಸಾರಿಗೆ,Transport,ಗ್ರಾಮೀಣ ಪ್ರದೇಶಗಳಲ್ಲಿ ಸರ್ಕಾರಿ ಬಸ್ ಸಂಚಾರ,Government bus traffic in rural areas,ಖಾದರ್ ಯು.ಟಿ,Khader UT
126,07/02/2013,ಗೃಹ,Home,ಜಮಖಂಡಿ ತಾಲ್ಲೂಕಿನ ಸಾವಳಗಿಗೆ Fire Fighter,Fire Fighter to the Dead Sea in Jamakhandi Taluk,ಕುಲಕರ್ಣಿ ಶ್ರೀಕಾಂತ್ ಸುಬ್ಬಾರಾವ್,Kulkarni Srikanth Subbarao
127,07/02/2013,ಇಂಧನ,Fuel,ಸಾವಳಗಿಯಲ್ಲಿ ಉಪವಿಭಾಗ ಕಛೇರಿ,Subdivision office in Saawalagi,ಕುಲಕರ್ಣಿ ಶ್ರೀಕಾಂತ್ ಸುಬ್ಬಾರಾವ್,Kulkarni Srikanth Subbarao
128,07/02/2013,ಸಾರಿಗೆ,Transport,ಜಮಖಂಡಿ ಬಸ್ ಸ್ಡ್ಯಾಂಡ್ ನವೀಕರಿಸು,Upgrade to Jamakhandi busstand,ಕುಲಕರ್ಣಿ ಶ್ರೀಕಾಂತ್ ಸುಬ್ಬಾರಾವ್,Kulkarni Srikanth Subbarao
129,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಜಮಖಂಡಿ ಕ್ಷೇತ್ರದಲ್ಲಿ ಮೊರಾರ್ಜಿ ಸ್ಕೂಲ್,Morarji School in Jamakhandi,ಕುಲಕರ್ಣಿ ಶ್ರೀಕಾಂತ್ ಸುಬ್ಬಾರಾವ್,Kulkarni Srikanth Subbarao
130,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಭೋವಿ ಜಾತಿಯ ದೃಢೀಕರಣ ಪತ್ರ,Bhovi Caste Certificate Letter,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
131,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ವಿದ್ಯಾರ್ಥಿಗಳಿಗೆ ಮತ್ತು ನೌಕರರಿಗೆ ಕಂಪ್ಯೂಟರ್ ಶಿಕ್ಷಣ,Computer education for students and employees,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
132,07/02/2013,ಸಾರಿಗೆ,Transport,ಖಾಸಗಿ ಎಕ್ಸ್ ಪ್ರೆಸ್ ಬಸ್ಸುಗಳು,Private express buses,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
133,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಭೋವಿ ಜಾತಿಯ ದೃಢೀಕರಣ ಪತ್ರ,Bhovi Caste Certificate Letter,ಕುಮಾರಸ್ವಾಮಿ ಕೆ.ಜೆ,Kumaraswamy KJ
134,07/02/2013,ವಸತಿ,Housing,ವಸತಿ ಯೋಜನೆಯಿಂದ ಮನೆ ಮಂಜೂರಾತಿ,House sanctioned by the housing scheme,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ,Manjunath HP
135,07/02/2013,ಇಂಧನ,Fuel,ಇಂಧನ ಇಲಾಖೆಯಿಂದ ಹಮ್ಮಿಕೊಂಡಿರುವ ಯೋಜನೆಗಳು,Plans from the Energy Department,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ,Manjunath HP
136,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಡಾ:ಬಿ.ಆರ್.ಅಂಬೇಡ್ಕರ್ ಅಭಿವೃದ್ಧಿ ನಿಗಮ ಮತ್ತು ಪರಿಶಿಷ್ಟ ಪಂಗಡಗಳ ಅಭಿವೃದ್ದಿ ನಿಗಮದ ಯೋಜನೆಗಳ ಅನುಷ್ಠನ,Dr. BR Ambedkar Development Corporation and Scheduled Tribes Development Corporation implementation of projects,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ,Manjunath HP
137,07/02/2013,ಸಾರಿಗೆ,Transport,ಸಾರಿಗೆ ಇಲಾಖೆಯಿಂದ ಹುಣಸೂರು ತಾಲ್ಲೂಕಿಗೆ ಮಂಜೂರಾದ ಅನುದಾನ,Sanctioned sanction for the Hunasur Taluk from the transport department,ಮಂಜುನಾಥ್ ಹೆಚ್.ಪಿ,Manjunath HP
138,07/02/2013,ಗೃಹ,Home,ಹೊಸ ಪೊಲೀಸ್ ಠಾಣೆ,New Police Station,ನಾಡಗೌಡ ವೆಂಕಟರಾವ್,Nadgowda Venkatrao
139,07/02/2013,ಗೃಹ,Home,ಸಬ್ ಸ್ಪೇಷನ್ ಗಳ ಪ್ರರಂಭ,Sub-sponsorship initiative,ನಾಡಗೌಡ ವೆಂಕಟರಾವ್,Nadgowda Venkatrao
140,07/02/2013,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ನ್ಯಾಯ ಬೆಲೆ ಅಂಗಡಿಗಳಿಂದ ಸಮರ್ಪಕವಾಗಿ,From fair price shops,ನಾಡಗೌಡ ವೆಂಕಟರಾವ್,Nadgowda Venkatrao
141,07/02/2013,ಸಾರಿಗೆ,Transport,ಕೆ.ಎಸ್.ಆರ್.ಟಿ.ಸಿ ಬಸ್ ನಿಲ್ದಾಣದ ಕಾಮಗಾರಿ,Works of KSRTC Bus Station,ನಾಡಗೌಡ ವೆಂಕಟರಾವ್,Nadgowda Venkatrao
142,07/02/2013,ಇಂಧನ,Fuel,ವಿದ್ಯು ತ್ ಉತ್ಪಾದನೆ,Electricity production,ನರೇಂದ್ರ ಆರ್,Narendra R 
143,07/02/2013,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಪಡಿತರ ಪದಾರ್ಥಗಳ ವಿತರಣೆ,Distribution of rations,ನರೇಂದ್ರ ಆರ್,Narendra R 
144,07/02/2013,ವಸತಿ,Housing,2008-09ನೇ ಸಾಲಿನ ಆಯವ್ಯಯ,Budget of 2008-09,ನರೇಂದ್ರ ಆರ್,Narendra R 
145,07/02/2013,ಸಾರಿಗೆ,Transport,2008ನೇ ಸಾಲಿನ ಆಯವ್ಯಯ,Budget 2008,ನರೇಂದ್ರ ಆರ್,Narendra R 
146,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,2008-09ನೇ ಸಾಲಿನ ಆಯವ್ಯಯ,Budget of 2008-09,ನರೇಂದ್ರ ಆರ್,Narendra R 
147,07/02/2013,ವೈದ್ಯಕೀಯ ಶಿಕ್ಷಣ,Medical education,ರಾಜೀವ್ ಗಾಂಧಿ ವಿ.ವಿ.ಸ್ಥಾಪನೆ,Rajiv Gandhi VV Foundation,ರಾಜು ಕೆ,Raju K 
148,07/02/2013,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಪಡಿತರ ಚೀಟಿ ವಿತರಣೆ,Distribution of Ration Card,ರವಿಸುಬ್ರಮಣ್ಯ ಎಲ್.ಎ,Ravi Brammanya L A 
149,07/02/2013,ಸಾರಿಗೆ,Transport,B.M.T.C ಬಸ್ಸುಗಳ ಸೇವೆ,B.M.T.C Buses Service,ರವಿಸುಬ್ರಮಣ್ಯ ಎಲ್.ಎ,Ravi Brammanya L A 
150,07/02/2013,ವಸತಿ,Housing,KHB ವತಿಯಿಂದ ಹೊಸ ಬಡಾವಣೆಗಳ ನಿರ್ಮಾಣ,Construction of new facilities by KHB,ರವಿಸುಬ್ರಮಣ್ಯ ಎಲ್.ಎ,Ravi Brammanya L A 
151,07/02/2013,ಗೃಹ,Home,ಪೊಲೀಸ್ ಟ್ರೈನಿಂಗ್ ಶಾಲೆಗೆ ನಿವೇಶನ ಮಂಜೂರಾತಿ,Sites for Police Training School,ರೇವಣ್ನ ಹೆಚ್.ಡಿ,Rev  HD
152,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಅಂಬೇಡ್ಕರ್ ಭವನ ನಿರ್ಮಾಣ,Construction of Ambedkar Bhavan,ರೇವಣ್ನ ಹೆಚ್.ಡಿ,Rev  HD
153,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಜಗಜೀವನರಾಮ್ ಭವನ ನಿರ್ಮಾಣ,Construction of Jagjivanaram Bhavan,ರೇವಣ್ನ ಹೆಚ್.ಡಿ,Rev  HD
154,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಖಾಲಿ ಇರುವ ಹುದ್ದೆಗಳು,Vacant posts,ರೇವಣ್ನ ಹೆಚ್.ಡಿ,Rev  HD
155,07/02/2013,ಸಾರಿಗೆ,Transport,ಬಸ್ ವ್ಯವಸ್ಥೆ ಇಲ್ಲದಿರುವುದು,No bus system,ರುದ್ರೇಶಗೌಡ ವೈ.ಎನ್,Rudras Gowda Y N 
156,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಹಾಸ್ಟೆಲ್ ಕಟ್ಟಡ ಮುಚ್ಚಿರುವುದು,Closing the hostel building,ರುದ್ರೇಶಗೌಡ ವೈ.ಎನ್,Rudras Gowda Y N 
157,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಸಮುದಾಯ ಭವನ,Community hall,ರುದ್ರೇಶಗೌಡ ವೈ.ಎನ್,Rudras Gowda Y N 
158,07/02/2013,ಆಹಾರ ಮತ್ತು ನಾಗರಿಕ ಸರಬರಾಜು,Food and Civil Supplies,ಬಿ.ಪಿ.ಎಲ್.ಪಡಿತರ ಚೀಟಿ ವಿತರಣೆ,Distribution of BPL Certificate Card,ರುದ್ರೇಶಗೌಡ ವೈ.ಎನ್,Rudras Gowda Y N 
159,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಗುತ್ತಿಗೆದಾರರಿಗೆ ಕಾಮಗಾರಿ,Work for contractors,ಶಾಮನೂರು ಶಿವಶಂಕರಪ್ಪ ಎಸ್,Shamanoor Shivashankarappa S 
160,07/02/2013,ವಸತಿ,Housing,ಹೆಚ್ಚುವರಿ ಮನೆಗಳು,Additional homes,ಶಾಮನೂರು ಶಿವಶಂಕರಪ್ಪ ಎಸ್,Shamanoor Shivashankarappa S 
161,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಗೌಳಿ ಜನಾಂಗ,Gourmet race,ಸುನೀಲ್ ವಿ.ಹೆಗಡೆ,Sunil V  Hegade
162,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಕುಣಬಿ ಜನಾಂಗ,Junk race,ಸುನೀಲ್ ವಿ.ಹೆಗಡೆ,Sunil V  Hegade
163,07/02/2013,ಬಂದಿಖಾನೆ,Prisoner,ಕಾರಾಗೃಹ ಕಟ್ಟಡ ನಿರ್ಮಾಣ,Prison Building Construction,ಸುನೀಲ್ ವಿ.ಹೆಗಡೆ,Sunil V  Hegade
164,07/02/2013,ಸಮಾಜ ಕಲ್ಯಾಣ,Social Welfare,ಗೃಹ ಮಂಡಳಿಯಲ್ಲಿ ನಿವೇಶನ/ಮನೆ ಹಂಚಿಕೆ,Site / House Sharing on the Home Board,ಸುನೀಲ್ ವಿ.ಹೆಗಡೆ,Sunil V  Hegade
